,fips,province_state,country_region,confirmed,deaths,recovered,active,date,positive,negative,hospitalized,hospitalizedcurrently,hospitalizeddischarged
129,,Beijing,China,41.0,,2.0,,20210119,289939,,,1066.0,
130,,Anhui,China,39.0,,,,20210119,289939,,,1066.0,
131,,Shanghai,China,33.0,,1.0,,20210119,289939,,,1066.0,
132,,He,China,32.0,,,,20210119,289939,,,1066.0,
133,,Sichuan,China,28.0,,,,20210119,289939,,,1066.0,
134,,Shandong,China,27.0,,,,20210119,289939,,,1066.0,
135,,Guangxi,China,23.0,,,,20210119,289939,,,1066.0,
136,,Hai,China,19.0,,,,20210119,289939,,,1066.0,
137,,Jiangxi,China,18.0,,,,20210119,289939,,,1066.0,
138,,Fujian,China,18.0,,,,20210119,289939,,,1066.0,
139,,Jiangsu,China,18.0,,1.0,,20210119,289939,,,1066.0,
140,,Liaoning,China,17.0,,,,20210119,289939,,,1066.0,
141,,Shaanxi,China,15.0,,,,20210119,289939,,,1066.0,
142,,Yun,China,11.0,,,,20210119,289939,,,1066.0,
143,,Tianjin,China,10.0,,,,20210119,289939,,,1066.0,
144,,Heilongjiang,China,9.0,1.0,,,20210119,289939,,,1066.0,
145,,Hebei,China,8.0,1.0,,,20210119,289939,,,1066.0,
146,,Inner Mongolia,China,7.0,,,,20210119,289939,,,1066.0,
147,,Shanxi,China,6.0,,,,20210119,289939,,,1066.0,
148,,Hong Kong,Hong Kong,5.0,,,,20210119,289939,,,1066.0,
149,,Guizhou,China,4.0,,,,20210119,289939,,,1066.0,
150,,Jilin,China,4.0,,,,20210119,289939,,,1066.0,
151,,Gansu,China,4.0,,,,20210119,289939,,,1066.0,
152,,Ningxia,China,3.0,,,,20210119,289939,,,1066.0,
153,,Taiwan,Taiwan,3.0,,,,20210119,289939,,,1066.0,
154,,Xinjiang,China,3.0,,,,20210119,289939,,,1066.0,
155,,Macau,Macau,2.0,,,,20210119,289939,,,1066.0,
156,,Qinghai,China,1.0,,,,20210119,289939,,,1066.0,
157,,Washington,US,1.0,,,,20210119,289939,,,1066.0,
158,,Illinois,US,1.0,,,,20210119,289939,,,1066.0,
159,,,Japan,2.0,,,,20210119,289939,,,1066.0,
160,,,Thailand,7.0,,,,20210119,289939,,,1066.0,
161,,,South Korea,2.0,,,,20210119,289939,,,1066.0,
162,,,Singapore,3.0,,,,20210119,289939,,,1066.0,
163,,,Vietnam,2.0,,,,20210119,289939,,,1066.0,
164,,,Australia,4.0,,,,20210119,289939,,,1066.0,
165,,,Nepal,1.0,,,,20210119,289939,,,1066.0,
166,,,Malaysia,3.0,,,,20210119,289939,,,1066.0,
167,,Hubei,China,1058.0,52.0,42.0,,20210119,289939,,,1066.0,
168,,Guangdong,China,111.0,,2.0,,20210119,289939,,,1066.0,
169,,Zhejiang,China,104.0,,1.0,,20210119,289939,,,1066.0,
170,,He,China,83.0,1.0,,,20210119,289939,,,1066.0,
171,,Chongqing,China,75.0,,,,20210119,289939,,,1066.0,
172,,Hu,China,69.0,,,,20210119,289939,,,1066.0,
173,,Beijing,China,68.0,,2.0,,20210119,289939,,,1066.0,
174,,Anhui,China,60.0,,,,20210119,289939,,,1066.0,
175,,Shandong,China,46.0,,,,20210119,289939,,,1066.0,
176,,Sichuan,China,44.0,,,,20210119,289939,,,1066.0,
177,,Shanghai,China,40.0,1.0,1.0,,20210119,289939,,,1066.0,
178,,Guangxi,China,36.0,,,,20210119,289939,,,1066.0,
179,,Jiangxi,China,36.0,,,,20210119,289939,,,1066.0,
180,,Fujian,China,35.0,,,,20210119,289939,,,1066.0,
181,,Jiangsu,China,33.0,,1.0,,20210119,289939,,,1066.0,
182,,Hai,China,22.0,,,,20210119,289939,,,1066.0,
183,,Shaanxi,China,22.0,,,,20210119,289939,,,1066.0,
184,,Liaoning,China,21.0,,,,20210119,289939,,,1066.0,
185,,Yun,China,16.0,,,,20210119,289939,,,1066.0,
186,,Heilongjiang,China,15.0,1.0,,,20210119,289939,,,1066.0,
187,,Tianjin,China,14.0,,,,20210119,289939,,,1066.0,
188,,Hebei,China,13.0,1.0,,,20210119,289939,,,1066.0,
189,,Shanxi,China,9.0,,,,20210119,289939,,,1066.0,
190,,Hong Kong,Hong Kong,8.0,,,,20210119,289939,,,1066.0,
191,,Inner Mongolia,China,7.0,,,,20210119,289939,,,1066.0,
192,,Gansu,China,7.0,,,,20210119,289939,,,1066.0,
193,,Guizhou,China,5.0,,,,20210119,289939,,,1066.0,
194,,Macau,Macau,5.0,,,,20210119,289939,,,1066.0,
195,,Ningxia,China,4.0,,,,20210119,289939,,,1066.0,
196,,Jilin,China,4.0,,,,20210119,289939,,,1066.0,
197,,Taiwan,Taiwan,4.0,,,,20210119,289939,,,1066.0,
198,,Xinjiang,China,4.0,,,,20210119,289939,,,1066.0,
199,,Qinghai,China,1.0,,,,20210119,289939,,,1066.0,
200,,Washington,US,1.0,,,,20210119,289939,,,1066.0,
201,,Illinois,US,1.0,,,,20210119,289939,,,1066.0,
202,,California,US,2.0,,,,20210119,289939,,,1066.0,
203,,Arizona,US,1.0,,,,20210119,289939,,,1066.0,
204,,,Japan,4.0,,1.0,,20210119,289939,,,1066.0,
205,,,Thailand,8.0,,2.0,,20210119,289939,,,1066.0,
206,,,South Korea,3.0,,,,20210119,289939,,,1066.0,
207,,,Singapore,4.0,,,,20210119,289939,,,1066.0,
208,,,Vietnam,2.0,,,,20210119,289939,,,1066.0,
209,,,Australia,4.0,,,,20210119,289939,,,1066.0,
210,,,Nepal,1.0,,,,20210119,289939,,,1066.0,
211,,,Malaysia,4.0,,,,20210119,289939,,,1066.0,
212,,Ontario,Canada,1.0,,,,20210119,289939,,,1066.0,
213,,Hubei,China,1423.0,76.0,45.0,,20210119,289939,,,1066.0,
214,,Guangdong,China,151.0,,4.0,,20210119,289939,,,1066.0,
215,,Zhejiang,China,128.0,,1.0,,20210119,289939,,,1066.0,
216,,He,China,128.0,1.0,,,20210119,289939,,,1066.0,
217,,Chongqing,China,110.0,,,,20210119,289939,,,1066.0,
218,,Hu,China,100.0,,,,20210119,289939,,,1066.0,
219,,Beijing,China,80.0,1.0,2.0,,20210119,289939,,,1066.0,
220,,Shandong,China,75.0,,,,20210119,289939,,,1066.0,
221,,Jiangxi,China,72.0,,2.0,,20210119,289939,,,1066.0,
222,,Anhui,China,70.0,,,,20210119,289939,,,1066.0,
223,,Sichuan,China,69.0,,,,20210119,289939,,,1066.0,
224,,Fujian,China,59.0,,,,20210119,289939,,,1066.0,
225,,Shanghai,China,53.0,1.0,3.0,,20210119,289939,,,1066.0,
226,,Jiangsu,China,47.0,,1.0,,20210119,289939,,,1066.0,
227,,Guangxi,China,46.0,,,,20210119,289939,,,1066.0,
228,,Shaanxi,China,35.0,,,,20210119,289939,,,1066.0,
229,,Hai,China,33.0,1.0,,,20210119,289939,,,1066.0,
230,,Liaoning,China,27.0,,,,20210119,289939,,,1066.0,
231,,Yun,China,26.0,,,,20210119,289939,,,1066.0,
232,,Tianjin,China,23.0,,,,20210119,289939,,,1066.0,
233,,Heilongjiang,China,21.0,1.0,,,20210119,289939,,,1066.0,
234,,Hebei,China,18.0,1.0,,,20210119,289939,,,1066.0,
235,,Gansu,China,14.0,,,,20210119,289939,,,1066.0,
236,,Shanxi,China,13.0,,,,20210119,289939,,,1066.0,
237,,Inner Mongolia,China,11.0,,,,20210119,289939,,,1066.0,
238,,Hong Kong,Hong Kong,8.0,,,,20210119,289939,,,1066.0,
239,,Guizhou,China,7.0,,,,20210119,289939,,,1066.0,
240,,Ningxia,China,7.0,,,,20210119,289939,,,1066.0,
241,,Jilin,China,6.0,,,,20210119,289939,,,1066.0,
242,,Macau,Macau,6.0,,,,20210119,289939,,,1066.0,
243,,Qinghai,China,6.0,,,,20210119,289939,,,1066.0,
244,,Taiwan,Taiwan,5.0,,,,20210119,289939,,,1066.0,
245,,Xinjiang,China,5.0,,,,20210119,289939,,,1066.0,
246,,Washington,US,1.0,,,,20210119,289939,,,1066.0,
247,,Illinois,US,1.0,,,,20210119,289939,,,1066.0,
248,,California,US,2.0,,,,20210119,289939,,,1066.0,
249,,Arizona,US,1.0,,,,20210119,289939,,,1066.0,
250,,,Japan,4.0,,1.0,,20210119,289939,,,1066.0,
251,,,Thailand,8.0,,2.0,,20210119,289939,,,1066.0,
252,,,South Korea,4.0,,,,20210119,289939,,,1066.0,
253,,,Singapore,5.0,,,,20210119,289939,,,1066.0,
254,,,Vietnam,2.0,,,,20210119,289939,,,1066.0,
255,,,Nepal,1.0,,,,20210119,289939,,,1066.0,
256,,,Malaysia,4.0,,,,20210119,289939,,,1066.0,
257,,Ontario,Canada,1.0,,,,20210119,289939,,,1066.0,
258,,,Cambodia,1.0,,,,20210119,289939,,,1066.0,
259,,,Sri Lanka,1.0,,,,20210119,289939,,,1066.0,
260,,,Ivory Coast,1.0,,,,20210119,289939,,,1066.0,
261,,New South Wales,Australia,4.0,,,,20210119,289939,,,1066.0,
262,,Victoria,Australia,1.0,,,,20210119,289939,,,1066.0,
263,,Hubei,China,3554.0,125.0,80.0,,20210119,289939,,,1066.0,
264,,Guangdong,China,207.0,,4.0,,20210119,289939,,,1066.0,
265,,Zhejiang,China,173.0,,3.0,,20210119,289939,,,1066.0,
266,,He,China,168.0,1.0,,,20210119,289939,,,1066.0,
267,,Hu,China,143.0,,,,20210119,289939,,,1066.0,
268,,Chongqing,China,132.0,,,,20210119,289939,,,1066.0,
269,,Jiangxi,China,109.0,,3.0,,20210119,289939,,,1066.0,
270,,Anhui,China,106.0,,,,20210119,289939,,,1066.0,
271,,Shandong,China,95.0,,,,20210119,289939,,,1066.0,
272,,Beijing,China,91.0,1.0,4.0,,20210119,289939,,,1066.0,
273,,Sichuan,China,90.0,,,,20210119,289939,,,1066.0,
274,,Fujian,China,80.0,,,,20210119,289939,,,1066.0,
275,,Jiangsu,China,70.0,,1.0,,20210119,289939,,,1066.0,
276,,Shanghai,China,66.0,1.0,4.0,,20210119,289939,,,1066.0,
277,,Guangxi,China,51.0,,2.0,,20210119,289939,,,1066.0,
278,,Shaanxi,China,46.0,,,,20210119,289939,,,1066.0,
279,,Yun,China,44.0,,,,20210119,289939,,,1066.0,
280,,Hai,China,40.0,1.0,,,20210119,289939,,,1066.0,
281,,Liaoning,China,34.0,,,,20210119,289939,,,1066.0,
282,,Hebei,China,33.0,1.0,,,20210119,289939,,,1066.0,
283,,Heilongjiang,China,33.0,1.0,,,20210119,289939,,,1066.0,
284,,Shanxi,China,27.0,,,,20210119,289939,,,1066.0,
285,,Tianjin,China,24.0,,,,20210119,289939,,,1066.0,
286,,Gansu,China,19.0,,,,20210119,289939,,,1066.0,
